Date,Open,High,Low,Close,Volume,Adj Close
1993-01-29,24.2465056165001,24.2465056165001,24.1259036706084,24.2293004006253,1003200,24.2293004006253
1993-02-01,24.2465056165001,24.4016282839867,24.2465056165001,24.4016282839867,480500,24.4016282839867
1993-02-02,24.3843679231893,24.4705594373313,24.3326971306422,24.4532990765339,201300,24.4532990765339
1993-02-03,24.4877646532062,24.7290236899122,24.4705594373313,24.7118184740374,529400,24.7118184740374
1993-02-04,24.7979548432568,24.8668859966014,24.5222302298785,24.8152152040543,531500,24.8152152040543
1993-02-05,24.7979548432568,24.8496807807266,24.6600925365676,24.7979548432568,492100,24.7979548432568
1993-02-08,24.7979548432568,24.8841463573989,24.7634892665845,24.7979548432568,596100,24.7979548432568
1993-02-09,24.7118184740374,24.7118184740374,24.5739561673482,24.6256269598953,122100,24.6256269598953
1993-02-10,24.6256269598953,24.6773528973651,24.5566958065508,24.6600925365676,379600,24.6600925365676
1993-02-11,24.6945581132399,24.8841463573989,24.6945581132399,24.780749627382,19500,24.780749627382
1993-02-12,24.7462840507097,24.7462840507097,24.591161383223,24.591161383223,42500,24.591161383223
1993-02-16,24.5222302298785,24.5222302298785,23.9363154264494,23.9707810031217,374800,23.9707810031217
1993-02-17,23.9707810031217,24.005246579794,23.8673842731048,23.9535757872469,210900,23.9535757872469
1993-02-18,24.2293004006253,24.2293004006253,23.6089200205239,23.9363154264494,378100,23.9363154264494
1993-02-19,23.9363154264494,24.0225069405915,23.9018498497771,24.0225069405915,34900,24.0225069405915
1993-02-22,24.0914380939361,24.1431088864832,24.0225069405915,24.1086433098109,513600,24.1086433098109
1993-02-23,24.1775744631555,24.194834823953,23.9707810031217,24.0914380939361,373700,24.0914380939361
1993-02-24,24.1086433098109,24.4016282839867,24.1086433098109,24.4016282839867,26300,24.4016282839867
1993-02-25,24.3843679231893,24.4705594373313,24.3326971306422,24.4532990765339,44500,24.4532990765339
1993-02-26,24.5050250140036,24.5050250140036,24.3671627073145,24.4877646532062,66200,24.4877646532062
1993-03-01,24.5739561673482,24.5739561673482,24.3843679231893,24.4188334998616,66500,24.4188334998616
1993-03-02,24.436093860659,24.780749627382,24.4016282839867,24.780749627382,182400,24.780749627382
1993-03-03,24.8152152040543,24.9013515732737,24.780749627382,24.8841463573989,280100,24.8841463573989
1993-03-04,24.9186119340712,24.9186119340712,24.7462840507097,24.7462840507097,89500,24.7462840507097
1993-03-05,24.780749627382,24.8841463573989,24.6600925365676,24.6773528973651,40000,24.6773528973651
1993-03-08,24.7290236899122,25.2288021241219,24.7290236899122,25.2288021241219,50800,25.2288021241219
1993-03-09,25.1770761866521,25.1943365474496,25.0909398174327,25.1426106099798,169300,25.1426106099798
1993-03-10,25.1426106099798,25.1943365474496,25.0392138799629,25.1943365474496,194400,25.1943365474496
1993-03-11,25.2115417633244,25.280472916669,25.0909398174327,25.125405394105,70900,25.125405394105
1993-03-12,24.9186119340712,24.935817149946,24.7118184740374,24.8668859966014,643600,24.8668859966014
1993-03-15,24.8496807807266,24.9875430874158,24.8496807807266,24.9875430874158,310800,24.9875430874158
1993-03-16,24.9875430874158,25.0564742407604,24.9875430874158,24.9875430874158,30800,24.9875430874158
1993-03-17,24.9530775107435,24.9530775107435,24.7979548432568,24.8324204199291,21800,24.8324204199291
1993-03-18,24.935817149946,25.0909398174327,24.935817149946,24.9875430874158,59300,24.9875430874158
1993-03-19,25.088499419595,25.088499419595,24.9499844320306,24.9499844320306,66900,24.9499844320306
1993-03-22,24.707583203793,24.8634402678004,24.690296533345,24.8114694444663,183400,24.8114694444663
1993-03-23,24.8807269382485,24.8980690146915,24.8288115209093,24.8634402678004,55200,24.8634402678004
1993-03-24,24.8288115209093,24.9673265084737,24.707583203793,24.8634402678004,37200,24.8634402678004
1993-03-25,24.8807269382485,25.071212749147,24.8460981913574,25.0192419258128,110100,25.0192419258128
1993-03-26,25.0019552553648,25.0192419258128,24.8634402678004,24.8807269382485,101500,24.8807269382485
1993-03-29,24.8980690146915,25.105841496038,24.8980690146915,24.9846131789217,87100,24.9846131789217
1993-03-30,25.0192419258128,25.0538706727039,24.9846131789217,25.0538706727039,56000,25.0538706727039
1993-03-31,25.1231281664861,25.1923856602682,25.0365840022559,25.0365840022559,111600,25.0365840022559
1993-04-01,25.071212749147,25.071212749147,24.8980690146915,24.9499844320306,129500,24.9499844320306
1993-04-02,24.7422119506841,24.7422119506841,24.4305532286643,24.4305532286643,59400,24.4305532286643
1993-04-05,24.6210390395628,24.6210390395628,24.4825240519985,24.5517815457806,172200,24.5517815457806
1993-04-06,24.6036969631198,24.6036969631198,24.4132665582163,24.4825240519985,129700,24.4825240519985
1993-04-07,24.5171527988896,24.5690682162287,24.4651819755554,24.5690682162287,28000,24.5690682162287
1993-04-08,24.6729544569019,24.6729544569019,24.4305532286643,24.5344394693376,180800,24.5344394693376
1993-04-12,24.7768406975752,24.8980690146915,24.7422119506841,24.8807269382485,348500,24.8807269382485
1993-04-13,24.8634402678004,25.0192419258128,24.8460981913574,24.9326977615826,146100,24.9326977615826
1993-04-14,24.9499844320306,24.9673265084737,24.8807269382485,24.8980690146915,119600,24.8980690146915
1993-04-15,24.8807269382485,24.9499844320306,24.7941827740183,24.8980690146915,148600,24.8980690146915
1993-04-16,24.9153556851395,24.9499844320306,24.8634402678004,24.8980690146915,47900,24.8980690146915
1993-04-19,24.8980690146915,24.9673265084737,24.7768406975752,24.7941827740183,157000,24.7941827740183
1993-04-20,24.7595540271272,24.7941827740183,24.5171527988896,24.6729544569019,279500,24.6729544569019
1993-04-21,24.7249252802361,24.7249252802361,24.5864102926717,24.6556677864539,67900,24.6556677864539
1993-04-22,24.5517815457806,24.7595540271272,24.3440090644341,24.3440090644341,97700,24.3440090644341
1993-04-23,24.2920382411,24.3612957348822,24.2054940768698,24.2401228237609,106000,24.2401228237609
1993-04-26,24.2574094942089,24.3440090644341,23.9803795190802,24.0496370128624,62600,24.0496370128624
1993-04-27,24.0150082659713,24.309380317543,24.0150082659713,24.309380317543,156800,24.309380317543
1993-04-28,24.274751570652,24.3266669879911,24.2227807473178,24.2574094942089,85900,24.2574094942089
1993-04-29,24.309380317543,24.3612957348822,24.1708653299787,24.3612957348822,85000,24.3612957348822
1993-04-30,24.4478953051074,24.5344394693376,24.3959244817732,24.3959244817732,88500,24.3959244817732
1993-05-03,24.4305532286643,24.5517815457806,24.3266669879911,24.5517815457806,80500,24.5517815457806
1993-05-04,24.6036969631198,24.7249252802361,24.5690682162287,24.6383257100109,149100,24.6383257100109
1993-05-05,24.6383257100109,24.7941827740183,24.6383257100109,24.707583203793,109000,24.707583203793
1993-05-06,24.6729544569019,24.690296533345,24.6036969631198,24.6210390395628,54700,24.6210390395628
1993-05-07,24.6383257100109,24.6383257100109,24.5344394693376,24.5690682162287,68000,24.5690682162287
1993-05-10,24.6036969631198,24.7595540271272,24.6036969631198,24.6210390395628,113900,24.6210390395628
1993-05-11,24.6210390395628,24.7249252802361,24.5517815457806,24.7249252802361,42600,24.7249252802361
1993-05-12,24.6210390395628,24.707583203793,24.6210390395628,24.690296533345,31000,24.690296533345
1993-05-13,24.5864102926717,24.5864102926717,24.3786378113252,24.3959244817732,129100,24.3959244817732
1993-05-14,24.3959244817732,24.4651819755554,24.3612957348822,24.3786378113252,63500,24.3786378113252
1993-05-17,24.4478953051074,24.4651819755554,24.3440090644341,24.4651819755554,34000,24.4651819755554
1993-05-18,24.4825240519985,24.4998107224465,24.3612957348822,24.4478953051074,105200,24.4478953051074
1993-05-19,24.4478953051074,24.9499844320306,24.2920382411,24.9499844320306,50200,24.9499844320306
1993-05-20,24.9499844320306,25.0192419258128,24.8980690146915,25.0192419258128,98200,25.0192419258128
1993-05-21,25.0365840022559,25.071212749147,24.7768406975752,24.7941827740183,221400,24.7941827740183
1993-05-24,24.8460981913574,24.9846131789217,24.8460981913574,24.8980690146915,30500,24.8980690146915
1993-05-25,25.0019552553648,25.0019552553648,24.9499844320306,24.9499844320306,191800,24.9499844320306
1993-05-26,25.0192419258128,25.2789852304935,25.0019552553648,25.2616431540504,102400,25.2616431540504
1993-05-27,25.2962719009415,25.2962719009415,25.1404702429291,25.1750989898202,53800,25.1750989898202
1993-05-28,25.1577569133772,25.1577569133772,24.9326977615826,25.0538706727039,79100,25.0538706727039
1993-06-01,25.1404702429291,25.3828714711667,25.105841496038,25.2962719009415,28300,25.2962719009415
1993-06-02,25.2270144071593,25.3482427242757,25.1231281664861,25.2616431540504,20300,25.2616431540504
1993-06-03,25.2097277367113,25.2097277367113,25.1231281664861,25.1750989898202,21600,25.1750989898202
1993-06-04,25.105841496038,25.105841496038,24.9846131789217,25.088499419595,32000,25.088499419595
1993-06-07,25.1404702429291,25.1404702429291,25.0019552553648,25.0019552553648,121400,25.0019552553648
1993-06-08,24.9326977615826,24.9326977615826,24.7768406975752,24.7768406975752,104500,24.7768406975752
1993-06-09,24.8634402678004,24.9673265084737,24.8288115209093,24.8634402678004,43300,24.8634402678004
